comicName,count
Donald Duck,3606
Robbedoes Weekblad,3124
Kuifje Weekblad,2276
Sjors,1389
Eppo,714
Pep,679
Arend,575
Suske En Wiske Weekblad,539
Suske En Wiske,530
Tina,523
Victoria,473
Donald Duck Extra,457
Lasso,399
Jommeke,384
De X,372
Akim Held Van De Jungle,344
Stripschrift,333
Tarzan (Classics),307
Collectie Spotlight,295
Suske En Wiske HQ,271
"Tibor, Zoon Van Het Oerwoud",251
Collectie 500,243
Jippo,241
De Avonturen Van Nero En Co,237
Spider,224
De Rode Ridder (Kleur),215
Sheriff Classics,214
De Spectaculaire Spider,210
Kranten Strips,201
Korak De Zoon Van Tarzan,200
Laurel En Hardy,195
Illustrated Classics,195
Zonneland,194
Bessy,189
Garfield,188
Kiekeboe,182
Zwarte Reeks,181
Strijd Classics,181
De Avonturen Van Urbanus,177
TV2000,174
HIP Comics,172
Sjors En Sjimmie Extra,169
Sjors En Sjimmie Stripblad,166
De Vlaamse Kranten,160
Jerom,160
Mickey Maandblad,155
Lucifera,151
"Peter Parker, De Spectaculaire Spiderman",150
Superman (Baldakijn),145
Zozolala,144
Avontuur Classics,143
Tom & Jerry (De Vrijbuiter),141
Collectie Vrije Vlucht,133
Eppo Wordt Vervolgd,132
Ohee! Weekblad,132
Superman Classics,132
Batman Classics,130
Suske En Wiske (Vierkleuren Reeks Met Nieuw Omslag),126
"Blauwbloezen, De",125
Tex Willer,123
Donald Duck Pocket S3,122
Diversen 18+,122
De Flintstones,121
Tom Poes Krantenstrips,120
Michel Vaillant,118
Suske En Wiske Reclame,118
Batman,117
De Rose Panter,116
Disneyland,116
De Wonderbaarlijke Spinneman,113
Eric De Noorman,113
Web Van Spider,110
Samson & Gert Krant,109
Sjors En Sjimmie,109
Asterix,108
Collectie Jong Europa,108
De Rode Ridder (Zwart,107
Bakelandt,106
Tarzan (Junior Press),105
Superstrip,104
SjoSji,103
SjoSji Extra,100
Wham!,100
Popeye,99
Robert En Bertrand,99
Lucky Luke,99
Het Belang Van Limburg,99
Gazet Van Antwerpen,99
Penny,96
Buck Danny,95
Anita,95
MAD,95
Karl May,93
Collectie Millennium,93
Nick Pionier Van Het Heelal,92
Wolverine,90
F.C. De Kampioenen,89
Toppers In Strip,88
Oorlog,87
Dick Bos (Nooitgedacht,86
Rik Ringers,84
Bollie En Billie,83
Tom Poes (Donald Duck,82
De Vier Verdedigers,81
Marvel Superhelden,79
Woody Woodpecker (Semic Press),78
"Jan, Jans En De Kinderen",78
Tarzan (Metropolis),78
Favorietenreeks,78
Oom Dagobert,77
Bob Morane,77
Chick Bill,76
Commando Classics,76
De Avonturen Van Kapitein Rob,75
Wordt Vervolgd,73
Sprookjes In Beeld,73
Filmstrips,72
LeFranc,71
Taptoe,71
Star Wars,71
Bajonet,70
Elfquest,69
Paling En Ko,69
Conan De Barbaar,67
Robbedoes En Kwabbernoot,67
Derde Stroming,66
Front Mini,65
De Smurfen,65
Tom Poes (De Bezige Bij,65
Collectie Cogitatio,65
Spawn,64
Fix En Fox,63
Guust Flater,63
De Stripspeciaalzaak,62
W.I.T.C.H. (Tijdschrift),62
Tom Poes (De Bezige Bij),62
Alex,61
Penthouse Comics Magazine,60
Jerom (Adhemar),60
Robbie,60
Kuifje,60
Sigurd,59
Piloot Storm,59
Prins Valiant,59
Collectie Charlie,59
Diabolik,59
Collectie Vinci,59
Wickie,58
Fantastic Four Special,58
De Blauwbloezen,58
Western Mini,57
Trigi�,57
De Vergelders Special,57
Blake En Mortimer,57
Collectie Balista,56
Dennis (Semic Press),56
De Verdedigers,56
Prins Valiant (Tijdschrift),55
Collectie De Zwarte Loge,55
Falk,54
Biggles,54
Geheim Agent,54
Oberon Strips,54
Horatio Altuna,53
De Sade,53
Rooie Oortjes,53
Piet Pienter En Bert Bibber,52
XIII,52
Pol,52
Ducktales,52
Collectie Detectivestrips,52
Griezel Classics,51
Flipje Tiel,51
Looney Tunes Strips,51
Pantser,51
Shock,50
Peptoe,49
Extra Donald Duck,48
